entidad_a,rangedad_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
23,6,2,2,0,1,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0
23,7,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,99,,,,,,,,,,,,,,,,,,,
24,1,2,2,0,2,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,3,2,2,0,2,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,4,2,2,0,2,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,5,4,4,0,4,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,6,8,8,0,8,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,7,9,9,0,8,0,1,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,8,6,5,1,5,1,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,9,4,3,1,3,1,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,10,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,99,,,,,,,,,,,,,,,,,,,
25,1,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,6,1,1,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0
25,7,2,2,0,0,0,0,0,2,0,0,0,NA,NA,0,0,0,0,0,0
25,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,99,,,,,,,,,,,,,,,,,,,
26,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,4,6,6,0,6,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,8,1,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0
26,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,99,,,,,,,,,,,,,,,,,,,
27,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,2,2,1,1,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,0,0,0
27,3,4,4,0,3,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0
27,4,6,5,1,5,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,5,8,8,0,8,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,6,12,12,0,9,0,0,0,0,0,NA,NA,NA,NA,0,0,3,0,0,0
27,7,15,12,3,0,0,12,3,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,8,51,45,6,45,6,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,10,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,99,,,,,,,,,,,,,,,,,,,
28,1,4,4,0,4,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0
