entidad_a,cafallec_c,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
11,300,7,7,0,7,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,400,4,4,0,4,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,9999,,,,,,,,,,,,,,,,,,,
12,100,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,101,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,199,,,,,,,,,,,,,,,,,,,
12,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,300,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,400,39,39,0,27,0,1,0,8,0,0,0,0,0,1,0,2,0,0,0
12,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9999,,,,,,,,,,,,,,,,,,,
13,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,199,,,,,,,,,,,,,,,,,,,
13,200,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,300,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,400,21,20,1,3,1,3,0,11,0,0,0,0,0,0,0,0,0,3,0
13,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9999,,,,,,,,,,,,,,,,,,,
14,100,NSS,NSS,NSS,NSS,0,NSS,0,0,0,0,0,0,0,0,0,0,NSS,0,0
14,101,NSS,NSS,NSS,NSS,0,NSS,0,0,0,0,0,0,0,0,0,0,NSS,0,0
14,102,NSS,NSS,NSS,NSS,0,NSS,0,0,0,0,0,0,0,0,0,0,NSS,0,0
14,199,,,,,,,,,,,,,,,,,,,
14,200,NSS,NSS,NSS,NSS,0,NSS,0,0,0,0,0,0,0,0,0,0,NSS,0,0
14,300,NSS,NSS,NSS,NSS,0,NSS,0,0,0,0,0,0,0,0,0,0,NSS,0,0
14,400,20,19,1,12,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0
14,500,NSS,NSS,NSS,NSS,0,NSS,0,0,0,0,0,0,0,0,0,0,NSS,0,0
14,600,14,13,1,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,9999,,,,,,,,,,,,,,,,,,,
15,100,9,9,0,9,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,101,9,9,0,9,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,199,,,,,,,,,,,,,,,,,,,
15,200,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,300,8,8,0,7,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
15,400,77,72,5,66,5,0,0,0,0,0,0,NA,NA,1,0,5,0,0,0
15,500,6,6,0,6,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,9999,,,,,,,,,,,,,,,,,,,
16,100,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
16,101,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
16,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
16,199,,,,,,,,,,,,,,,,,,,
16,200,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
16,300,6,5,1,3,1,1,0,0,0,0,0,NA,NA,0,0,1,0,0,0
16,400,18,16,2,10,2,2,0,0,0,0,0,NA,NA,1,0,3,0,0,0
16,500,5,4,1,3,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0
16,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
16,9999,,,,,,,,,,,,,,,,,,,
17,100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,101,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,199,,,,,,,,,,,,,,,,,,,
17,200,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,300,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,400,8,6,2,3,2,0,0,3,0,0,0,NA,NA,0,0,0,0,0,0
17,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,9999,,,,,,,,,,,,,,,,,,,
18,100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,101,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,199,,,,,,,,,,,,,,,,,,,
18,200,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,300,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,400,3,2,1,1,0,0,0,0,0,0,0,NA,NA,0,0,1,1,0,0
18,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,9999,,,,,,,,,,,,,,,,,,,
19,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,101,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,199,,,,,,,,,,,,,,,,,,,
19,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,300,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,400,12,11,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1
19,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9999,,,,,,,,,,,,,,,,,,,
20,100,4,4,0,3,0,0,0,1,0,NA,NA,0,0,0,0,0,0,NA,NA
20,101,4,4,0,3,0,0,0,1,0,NA,NA,0,0,0,0,0,0,NA,NA
20,102,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,199,,,,,,,,,,,,,,,,,,,
20,200,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,300,2,2,0,1,0,1,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,400,41,37,4,21,2,4,1,11,0,NA,NA,0,1,0,0,1,0,NA,NA
20,500,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,600,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,9999,,,,,,,,,,,,,,,,,,,
21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,199,,,,,,,,,,,,,,,,,,,
21,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,400,42,39,3,37,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0
21,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9999,,,,,,,,,,,,,,,,,,,
22,100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,101,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,199,,,,,,,,,,,,,,,,,,,
22,200,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,300,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,400,3,3,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,0
22,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,9999,,,,,,,,,,,,,,,,,,,
23,100,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
